month,year,ninety,seventyf,mean,twentyf,ten,count
2,1971,0.704999,-1.3375,-4.725,-11.4,-14.275,28
2,2005,1.725,-0.5625,-4.75,-8,-9.65,28
2,2008,-0.0500002,-0.5,-2.75,-6.5,-7.8,13
2,1975,-2.885,-6.5125,-12.625,-18.975,-21.105,28
2,1969,-2.585,-4.075,-6.775,-8.7125,-9.78,28
2,2001,-2.925,-5.25,-8.25,-11.6875,-15.3,28
2,1967,-0.76,-3.2,-5.275,-7.6375,-9.405,28
2,1902,1.85,-0.4125,-1.95,-4.5875,-5.55,28
2,1911,-2.96,-5.3,-7.625,-9.85,-11.775,28
2,1972,-2.19,-4.45,-6.4,-14.45,-17.42,29
2,1916,2,0.55,-2.5,-18.05,-21.01,29
2,1940,-4.64,-5.8,-7.2,-8.6,-10.35,29
2,1944,-3.88,-5.25,-8.85,-10.85,-13.62,29
2,1968,4.27,1.4,-1.1,-4.15,-6.8,29
2,1914,-1.395,-2.1375,-4.05,-6.65,-14.185,28
2,1939,-1.95,-2.5,-6.65,-12.2,-21.94,28
2,1927,-1.145,-2.775,-5.4,-7.275,-12.765,28
3,2006,0.25,-2.125,-3.5,-6.25,-10,31
3,1956,-1.1,-2.5,-4.7,-7.65,-11.7,31
3,1915,4.15,2.65,0.85,-1.225,-3.3,31
3,1955,0.85,-1.925,-6.4,-13.75,-23.35,31
3,1923,1.95,-0.7,-3.05,-5.825,-10.3,31
3,1941,5.85,2.925,0.85,-1.125,-3.6,31
3,1962,0.85,-0.975,-3.9,-8.75,-13.35,31
3,1901,2.25,0.275,-1.65,-3.05,-4.45,31
3,1924,-0.3,-1.375,-3.3,-5.525,-7.25,31
3,1895,1.95,1.225,-1.1,-3.45,-6.7,31
3,1912,4.15,0.825,-4.45,-6.925,-9.45,31
3,1930,3.6,1.4,-3.6,-7.775,-11.4,31
3,1976,0.55,-0.275,-2.5,-4.15,-8.35,31
3,1968,2.8,0.125,-1.4,-3.6,-5.55,31
3,2010,2.95,1.75,0.25,-1.75,-5.3,29
3,2000,0.549999,-0.5,-2.5,-4.375,-6.825,30
3,2002,-1.5,-2.625,-5.75,-17.375,-21.25,31
3,1897,-0.3,-3.45,-5.85,-12.225,-17.5,31
3,2008,-1.075,-2.125,-5.875,-7.125,-9.175,14
3,1898,-0.3,-1.4,-3.9,-6.5,-15.55,31
3,1987,2.5,0.875,0,-1.625,-3,31
3,1889,5,3.2,1.4,-1.375,-3.05,31
3,1971,-3.05,-3.9,-5.55,-8.325,-10.55,31
3,1900,6.1,4.15,0.55,-2.225,-8.85,31
3,2011,0.5,-0.5,-2.25,-5.625,-8,31
3,1935,-1.7,-4.725,-7.8,-12.65,-15.55,31
3,2009,-1,-4,-6.5,-8.5,-15.5,31
3,1910,5,4.3,0.8,-4.175,-5.3,31
3,1946,-0.25,-1.25,-3.35,-4.85,-8.35,31
3,1926,3.05,1.375,-0.55,-2.5,-3.6,31
3,1988,0.75,-0.125,-2.5,-4.75,-6,31
3,1961,2.8,1.1,0,-5.575,-10.55,31
3,1908,0,-1.4,-4.2,-9.15,-11.9,31
3,1952,-0.3,-2.1,-5,-6.525,-8.3,31
3,1960,5,1.8,-1.7,-6.25,-10.3,31
3,1995,2.5,1.75,0.5,-4.875,-12.25,31
3,1973,-0.55,-1.525,-2.8,-3.6,-5.8,31
3,1979,-6.5,-6.5,-6.5,-6.5,-6.5,1
3,1922,-0.55,-1.825,-3.9,-6.925,-9.45,31
3,1917,-3.35,-4.175,-6.1,-7.625,-9.45,31
3,1909,1.65,0,-1.65,-4.575,-6.95,31
3,1918,1.95,0.975,-1.95,-4.05,-8.05,31
3,1932,-0.85,-1.8,-2.5,-6.8,-11.4,31
3,2004,2,0.125,-2,-3.875,-5.5,31
3,1903,0.55,-1.375,-7.2,-10.55,-12.8,31
3,1966,3.9,1.4,-0.85,-5.55,-8.35,31
3,1934,3.05,0.25,-2.25,-5,-6.1,31
3,1904,-1.1,-2.25,-5.55,-9.175,-11.15,31
3,1999,2.25,-1.25,-3.5,-4.75,-7.25,31
3,1993,2.25,0.25,-2.75,-4.375,-7.75,31
3,1965,-1.8,-2.675,-13.05,-15.825,-16.83,15
3,1890,0.0549992,-0.5,-2.925,-3.6,-4.48,30
3,1899,-1.4,-2.525,-6.95,-9.45,-10.55,31
3,1929,1.9,0.425,-1.15,-4.7,-7.75,31
3,1981,2.5,1.375,-0.5,-2,-2.5,31
3,1948,-1.7,-3.75,-5.8,-7.75,-11.35,31
3,1937,0.25,-0.425,-1.4,-3.2,-4.4,31
3,1913,1.4,-1.375,-3.9,-13.05,-16.95,31
3,1905,3.9,2.8,1.1,-1.15,-2.8,31
3,2001,0.25,-1.125,-3,-5.125,-7,31
3,1943,-0.55,-4.45,-7.5,-12.075,-16.15,31
3,1894,1.9,0.675,-2.8,-5.15,-8.35,31
3,1997,2,-1.625,-3.25,-8,-10.25,31
3,1933,0.25,-0.425,-2.25,-5,-7.5,31
3,1989,-0.25,-1.75,-2.75,-7,-11.5,31
3,1963,-0.25,-2.075,-3.35,-4.85,-6.7,31
3,1893,0.55,0.3,-2.5,-3.3,-4.7,31
3,1891,1.65,-1.675,-3.85,-7.25,-12.8,31
3,1972,3.9,2.225,-1.1,-3.9,-8.05,31
3,1945,0.25,-0.975,-3.35,-5.3,-9.45,31
3,1977,-0.25,-2.225,-4.15,-5.15,-8.9,31
3,1986,2.5,2.125,0.25,-1.5,-2.25,31
3,1942,-0.55,-2.375,-3.9,-8.2,-10.55,31
3,1953,2.5,-1.375,-3.6,-5.3,-6.1,31
3,1954,-2.5,-4.3,-6.35,-8.225,-10.85,31
3,1992,4.75,3.375,1.75,0,-1.75,31
3,1970,0.8,-0.95,-2.5,-3.875,-5,31
3,1991,-0.25,-1.875,-4.5,-8.5,-12.25,31
3,1907,-1.7,-3.625,-6.65,-8.05,-9.67,23
3,2007,3.3,2,-1,-4,-8.65,29
3,1914,1.1,-0.25,-2.2,-4.875,-8.35,31
3,1936,0.25,-1.125,-4.45,-11.25,-16.95,31
3,1978,3.1,0.975,-1.1,-3.775,-6.1,31
3,1888,1.89,-0.8,-2.25,-4.2,-5.32,17
3,1911,2.5,0.975,-1.65,-3.2,-4.15,31
3,1919,0.85,-1.65,-4.2,-8.65,-11.95,31
3,1902,-0.55,-1.4,-3.35,-5.275,-7.8,31
3,1985,0.5,-1,-4.5,-5.75,-6.75,31
3,1994,4.25,2.5,-0.75,-3.375,-5.75,31
3,1998,2.5,0.8125,-1.25,-4.1875,-6.85,30
3,1927,-0.25,-1.4,-3.9,-5.55,-8.05,31
3,1984,2.25,1.375,0.5,-1,-5,31
3,1982,-1.25,-2.75,-4.75,-6.5,-7.75,31
3,1921,0.3,-1.4,-2.8,-7.65,-13.35,31
3,1967,-2.75,-3.725,-6.1,-8.9,-15,31
3,1939,6.1,-0.45,-3.9,-7.35,-11.65,31
3,1983,1.5,0.375,-1.25,-3.75,-6.75,31
3,1938,0.55,-1.525,-2.75,-3.9,-6.7,31
3,1980,-0.25,-2,-4.25,-6.875,-8,31
3,1947,4.45,1.8,-1.15,-4.85,-11.1,31
3,1957,1.1,-0.675,-3.35,-6.1,-7.5,31
3,1920,-0.3,-1.275,-3.05,-6.65,-9.45,31
3,2005,2.75,1.5,0.5,-3.625,-8.5,31
3,1916,3.35,1.25,-2.5,-5.425,-10,31
3,1931,3.35,1.1,-3.9,-8.45,-10.55,31
3,1990,2.5,0.75,-1.25,-4.5,-7.75,31
3,1975,-1.95,-5,-7.5,-9.175,-10.55,31
